SSID,HPHM,HPZL,JGSJ,CDBH
HK-93,落P80843,2,2019/1/1 15:01:34,10
HK-93,落PK8218,2,2019/1/1 15:01:32,11
HK-92,落P9H083,2,2019/1/1 15:01:58,8
HK-92,落P3A520,2,2019/1/1 15:02:01,6
HK-93,落F0198少,2,2019/1/1 15:01:56,2
HK-93,落PE8872,2,2019/1/1 15:01:50,12
HK-92,落PC8296,2,2019/1/1 15:02:34,2
HK-92,落PG1228,2,2019/1/1 15:02:34,8
HK-92,落P95138,2,2019/1/1 15:00:45,8
HK-93,落P8D307,2,2019/1/1 15:00:57,5
HK-93,落PA8051,1,2019/1/1 15:00:55,6
HK-92,落B9W011,2,2019/1/1 15:01:24,3
HK-107,落PH8838,2,2019/1/1 15:01:58,1
HK-93,落PA2324,2,2019/1/1 15:02:22,7
HK-93,落PA4078,1,2019/1/1 15:02:19,7
HK-92,落PN8190,2,2019/1/1 15:02:31,10
HK-92,落PL8343,2,2019/1/1 15:02:43,2
HK-92,落PC9600,2,2019/1/1 15:02:39,3
HK-92,落HS019X,2,2019/1/1 15:02:38,2
HK-92,落PV9652,2,2019/1/1 15:02:39,7
HK-92,落P80716,2,2019/1/1 15:02:39,10
HK-92,落PYC333,2,2019/1/1 15:01:15,2
HK-92,落PC8901,2,2019/1/1 15:01:12,2
HK-92,落PU0903,2,2019/1/1 15:01:26,9
HK-93,落PXJ888,2,2019/1/1 15:01:24,10
HK-93,落PK6258,2,2019/1/1 15:01:18,10
HK-107,落PE0950,2,2019/1/1 15:01:28,3
HK-92,落BM518V,2,2019/1/1 15:01:46,10
HK-93,落P6C565,2,2019/1/1 15:01:36,10
HK-93,落PL723P,2,2019/1/1 15:01:53,3
HK-92,落P80064,2,2019/1/1 15:02:11,6
HK-107,落PG009G,2,2019/1/1 15:02:35,2
HK-107,概兎,2,2019/1/1 15:02:31,4
HK-107,落PWJ927,2,2019/1/1 15:02:37,2
HK-107,團GLS246,2,2019/1/1 15:02:37,1
HK-93,落P64267,2,2019/1/1 15:01:00,5
HK-93,落P80339,2,2019/1/1 15:01:16,4
HK-93,落PL8343,2,2019/1/1 15:01:13,4
HK-107,概兎,2,2019/1/1 15:01:16,4
HK-107,落P95138,2,2019/1/1 15:01:30,4
HK-92,落P73341,2,2019/1/1 15:02:05,6
HK-93,落P80815,2,2019/1/1 15:01:54,12
HK-107,落PL8343,2,2019/1/1 15:02:01,1
HK-107,落PU0903,2,2019/1/1 15:02:01,3
HK-92,落P62516,2,2019/1/1 15:02:32,7
